filename;goodforairplane;language;year;genre;country;runtime;rated
Casino_Royale;1;English, French;2006;Action, Adventure, Thriller;UK, Czech Republic, USA, Germany, Bahamas;144 min;PG-13
Ode_to_My_Father;1;Korean, English, German;2014;Drama;South Korea;126 min;N/A
Dirty_Dancing;1;English;1987;Drama, Music, Romance;USA;100 min;PG-13
V_for_Vendetta;0;English;2005;Action, Drama, Thriller;USA, UK, Germany;132 min;R
Brother_Bear;0;English, Inuktitut, Croatian, Serbian;2003;Animation, Adventure, Family;USA;85 min;G
Babar__The_Movie;0;English, French;1989;Animation, Adventure, Family;Canada, France;70 min;G
The_Parent_Trap;0;English, French;1998;Adventure, Comedy, Drama;USA;127 min;PG
Bros_Before_Hos;1;Dutch;2013;Comedy;Netherlands;87 min;N/A
Moulin_Rouge!;1;English, French, Spanish;2001;Drama, Musical, Romance;USA, Australia;127 min;PG-13
Total_Recall;1;English;1990;Action, Adventure, Sci-Fi;USA;113 min;R
American_Pie;1;English;1999;Comedy, Romance;USA;95 min;R
Shakespeare_in_Love;1;English;1998;Comedy, Drama, Romance;USA;123 min;R
Bobby_Jasoos;1;Urdu, Hindi;2014;Comedy, Drama, Thriller;India;121 min;N/A
Boogie_Nights;0;English;1997;Drama;USA;155 min;R
Excuse_My_French;0;Arabic;2014;Comedy;Egypt;99 min;N/A
Chef;0;English, Spanish;2014;Comedy, Drama;USA;114 min;R
Le_Samourai;0;French;1967;Crime, Drama, Mystery;France, Italy;101 min;PG
The_Lizzie_McGuire_Movie;1;English, Italian;2003;Adventure, Comedy, Family;USA;94 min;PG
Khumba;1;English;2013;Animation, Adventure, Family;South Africa;85 min;NOT RATED
A_Fish_Called_Wanda;1;English, Italian, Russian;1988;Comedy, Crime;USA, UK;108 min;R
Homies;1;Dutch;2015;Comedy;Netherlands;100 min;N/A
Mulan;1;English, Mandarin;1998;Animation, Adventure, Family;USA;88 min;G
The_Maze_Runner;1;English;2014;Action, Mystery, Sci-Fi;USA;113 min;PG-13
Nightcrawler;0;English;2014;Crime, Thriller;USA;117 min;R
Elsa___Fred;0;Spanish, Italian, English;2005;Comedy, Drama, Romance;Argentina, Spain;108 min;PG
RED;0;English, Russian;2010;Action, Comedy, Crime;USA;111 min;PG-13
Khoobsurat;0;Hindi;2014;Comedy, Romance;India;130 min;N/A
Interstellar;1;English;2014;Adventure, Sci-Fi;USA, UK, Canada;169 min;PG-13
Night_at_the_Museum__Secret_of_the_Tomb;1;English;2014;Adventure, Comedy, Family;USA, UK;98 min;PG
The_Hunger_Games;1;English;2012;Adventure, Sci-Fi;USA;142 min;PG-13
The_Babadook;1;English;2014;Drama, Horror, Thriller;Australia, Canada;93 min;NOT RATED
Big_Hero_6;1;English;2014;Animation, Action, Adventure;USA;102 min;PG
The_Imitation_Game;1;English, German;2014;Biography, Drama, Thriller;UK, USA;114 min;PG-13
Looney_Tunes__Back_in_Action;0;English;2003;Animation, Adventure, Comedy;USA, Germany;91 min;PG
The_Hunger_Games__Catching_Fire;0;English;2013;Adventure, Sci-Fi;USA;146 min;PG-13
Hook;0;English;1991;Adventure, Comedy, Family;USA;142 min;PG
Exodus__Gods_and_Kings;0;English;2014;Action, Adventure, Drama;UK, USA, Spain;150 min;PG-13
Invincible;1;English;2006;Biography, Drama, Sport;USA;105 min;PG
Some_Like_It_Hot;1;English;1959;Comedy;USA;120 min;NOT RATED
The_Reader;1;English, German, Greek, Latin;2008;Drama, Romance;USA, Germany;124 min;R
The_Birdcage;1;English;1996;Comedy;USA;117 min;R
The_Theory_of_Everything;1;English, French, Latin;2014;Biography, Drama, Romance;UK;123 min;PG-13
Black_Swan;1;English, French, Italian;2010;Drama, Mystery, Thriller;USA;108 min;R
Maine_Pyar_Kiya;0;Hindi;1989;Family, Musical, Romance;India;192 min;N/A
Still_Alice;0;English;2014;Drama;USA, France;101 min;PG-13
My_Week_with_Marilyn;0;English, French;2011;Biography, Drama;UK, USA;99 min;R
Bhoothnath_Returns;0;Hindi;2014;Comedy, Drama, Fantasy;India;155 min;N/A
Grand_Piano;1;English;2013;Music, Mystery, Thriller;Spain;90 min;R
Into_the_Woods;1;English;2014;Adventure, Fantasy, Musical;USA, UK, Canada;125 min;PG
The_Blair_Witch_Project;1;English;1999;Horror, Mystery;USA;81 min;R
Monsters_University;1;English;2013;Animation, Adventure, Comedy;USA;104 min;G
Mr._Go;1;Korean, Mandarin;2013;Comedy, Drama, Sport;South Korea, China;132 min;N/A
This_Is_Where_I_Leave_You;1;English;2014;Comedy, Drama;USA;103 min;R
The_Bourne_Legacy;0;English, Russian, Filipino;2012;Action, Adventure, Mystery;USA, Japan;135 min;PG-13
Wild_Tales;0;Spanish;2014;Comedy, Drama, Thriller;Argentina, Spain;122 min;R
The_Dark_Knight;0;English, Mandarin;2008;Action, Crime, Drama;USA, UK;152 min;PG-13
Predestination;0;English;2014;Drama, Mystery, Sci-Fi;Australia;97 min;R
Robin_Hood;1;English, French;2010;Action, Adventure, Drama;USA, UK;140 min;PG-13
A_Million_Ways_to_Die_in_the_West;1;English, Navajo, Mandarin;2014;Comedy, Western;USA;116 min;R
Drive;0;English, Spanish;2011;Crime, Drama;USA;100 min;R
Bronson;0;English;2008;Action, Biography, Crime;UK;92 min;R
The_Last_Days_on_Mars;0;English;2013;Horror, Sci-Fi, Thriller;UK, Ireland;98 min;R
The_Reluctant_Dragon;0;English;1941;Animation, Comedy, Family;USA;74 min;APPROVED
Live_Nude_Girls;0;English;1995;Comedy;USA;95 min;R
Pulp_Fiction;0;English, Spanish, French;1994;Crime, Drama;USA;154 min;R
Perez;0;Italian;2014;Crime, Drama, Thriller;Italy;94 min;N/A
A_Goofy_Movie;0;English;1995;Animation, Adventure, Comedy;USA;78 min;G
Mean_Girls;0;English, German, Vietnamese, Swahili;2004;Comedy;USA, Canada;97 min;PG-13
